date,first_name,life_force
2025-11-24,Inigo Montoya,24.28
2025-06-08,Buttercup,35.07
2024-03-25,Valerie,59.5
2025-04-30,Buttercup,2.5
2024-05-09,Vizzini,1.38
2025-04-04,Prince Humperdink,31.73
2024-03-17,Inigo Montoya,81.92
2025-05-05,Fezzik,83.21
2025-08-01,Miracle Max,23.02
2025-05-22,Fezzik,27.76
2025-06-16,Buttercup,77.0
2024-05-30,Inigo Montoya,80.07
2025-08-16,Fezzik,97.97
2024-08-01,Prince Humperdink,37.39
2025-05-06,Buttercup,63.99
2024-02-13,Fezzik,98.58
2025-12-21,Fezzik,21.81
2024-02-23,Buttercup,15.02
2025-06-22,Vizzini,25.89
2025-06-30,Fezzik,61.26
2024-04-29,Buttercup,33.32
2024-06-09,Count Rugen,86.76
2025-04-07,Inigo Montoya,20.58
2024-01-21,Inigo Montoya,66.87
2024-07-04,Fezzik,61.45
2024-06-17,Miracle Max,84.88
2025-02-26,Count Rugen,86.09
2024-11-09,Valerie,72.97
2025-02-09,Valerie,99.92
2024-03-07,Vizzini,50.93
2024-12-16,Count Rugen,43.1
2025-11-25,Inigo Montoya,88.53
2024-12-11,Inigo Montoya,26.22
2025-09-30,Fezzik,5.46
2024-11-14,Miracle Max,3.18
2025-08-28,Vizzini,46.25
2025-07-27,Inigo Montoya,44.81
2024-10-17,Buttercup,4.1
2025-02-20,Count Rugen,59.95
2024-07-06,Count Rugen,46.95
2025-10-21,Inigo Montoya,48.48
2025-03-25,Inigo Montoya,79.67
2025-04-27,Count Rugen,97.99
2025-09-08,Fezzik,69.36
2024-07-21,Valerie,88.25
2024-08-21,Prince Humperdink,18.99
2025-12-06,Inigo Montoya,3.68
2025-02-11,Buttercup,19.68
2025-08-15,Buttercup,33.4
2024-12-24,Miracle Max,13.93
2025-08-13,Prince Humperdink,65.0
2024-04-28,Count Rugen,71.14
2025-02-23,Miracle Max,74.4
2024-05-29,Miracle Max,87.7
2025-07-02,Buttercup,38.5
2024-09-16,Prince Humperdink,62.98
2025-12-03,Fezzik,81.4
2024-01-26,Miracle Max,44.8
2024-09-21,Valerie,39.5
2024-03-06,Vizzini,58.76
2024-11-06,Count Rugen,53.8
2025-06-22,Miracle Max,39.72
2025-08-06,Count Rugen,83.32
2024-09-26,Miracle Max,59.83
2025-04-19,Vizzini,55.07
2024-05-08,Inigo Montoya,77.66
2024-06-12,Count Rugen,86.71
2025-03-30,Count Rugen,68.81
2024-06-28,Prince Humperdink,29.91
2025-08-26,Valerie,60.0
2025-06-09,Vizzini,50.98
2025-06-22,Buttercup,49.97
2024-03-08,Inigo Montoya,5.4
2024-02-17,Prince Humperdink,8.24
2025-02-19,Count Rugen,70.37
2025-05-08,Prince Humperdink,30.85
2024-03-16,Valerie,24.0
2024-11-26,Buttercup,15.18
2024-08-15,Valerie,9.98
2025-07-21,Fezzik,87.16
2024-04-07,Valerie,92.12
2025-05-30,Inigo Montoya,72.28
2024-09-19,Valerie,98.56
2025-02-08,Miracle Max,24.06
2025-05-22,Inigo Montoya,68.59
2024-08-27,Prince Humperdink,24.47
2025-03-06,Inigo Montoya,46.21
2025-10-31,Inigo Montoya,55.27
2025-03-30,Prince Humperdink,86.72
